"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\campusCredit.ts", "TypeScript", 0, -47, 0, -4, -51
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\campusData.ts", "TypeScript", 0, -98, 0, -9, -107
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\campusGeoJSON.ts", "TypeScript", 0, -922, -3, -86, -1011
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\isuMetadata.ts", "TypeScript", 0, -11, 0, 0, -11
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\About.tsx", "TypeScript JSX", 91, 0, 4, 8, 103
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\Credit.tsx", "TypeScript JSX", 65, 0, 0, 11, 76
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\Dashboard.tsx", "TypeScript JSX", 128, 0, 4, 10, 142
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\EmergencyHotlines.tsx", "TypeScript JSX", 72, 0, 1, 9, 82
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\MapView.tsx", "TypeScript JSX", 157, 0, 8, 21, 186
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\Search.tsx", "TypeScript JSX", 125, 0, 4, 12, 141
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\Share.tsx", "TypeScript JSX", 12, 0, 0, 3, 15
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\pages\StudentManual.tsx", "TypeScript JSX", 21, 0, 0, 4, 25
"Total", "-", 671, -1078, 18, -21, -410
